N;CICLO;CODIGO;CURSO;ESP;HT;HP;TH;CRD;REQUE
20;III;EG107;EPISTEMOLOGÍA ;4;2;2;4;3;NINGUNO
21;III;EG114;ESTRATEGIAS DE APRENDIZAJE ;4;2;2;4;3;NINGUNO
22;III;EG116;ACTIVIDADES FÍSICAS Y DEPORTES PARA LA SALUD ;4;2;2;4;3;NINGUNO
23;III;EG116;GEOHISTORIA REGIONAL ;4;2;2;4;3;NINGUNO
24;IV;APLA212;TÉCNICA BÁSICA II: ESCULTURA ;4;3;2;5;4;NINGUNO
25;IV;APLA213;TÉCNICA BÁSICA II: GRABADO ;4;3;2;5;4;NINGUNO
26;IV;APLA214;TÉCNICA BÁSICA II: ACUARELA ;4;3;2;5;4;NINGUNO
27;IV;APLA215;COMPOSICIÓN;4;1;2;3;2;NINGUNO
28;IV;APLA301;ANATOMÍA ARTÍSTICA;4;4;0;4;4;APLA209
29;IV;APLA302;TALLER DE LAS ARTES PLÁSTICAS INTERMEDIA I;4;5;4;9;7;APLA210
30;IV;APLA303;FOTOGRAFÍA I;4;2;2;4;3;NINGUNO
31;IV;EG110;ESTADÍSTICA;4;3;2;5;4;NINGUNO
32;V;APLA216;HISTORIA DE LAS ARTES PLÁSTICAS UNIVERSAL I;4;3;0;3;3;NINGUNO
33;V;APLA217;TALLER DE DIBUJO ANÁLITICO, SINTÉTICO Y CONTEMPORÁNEO;4;2;2;4;3;NINGUNO
34;V;APLA304;TALLER DIBUJO DE FIGURA HUMANA I;4;4;2;6;5;APLA301
35;V;APLA305;TALLER DE LAS ARTES PLÁSTICAS INTERMEDIA II;4;5;4;9;7;APLA302
36;V;APLA306;FOTOGRAFÍA II;4;2;2;4;3;APLA303
37;V;APLA307;DISEÑO GRÁFICO I;4;2;2;4;3;NINGUNO
38;VI;APLA218;ARTE MURAL;4;1;2;3;2;NINGUNO
39;VI;APLA219;HISTORIA DE LAS ARTES PLÁSTICAS UNIVERSAL II;4;3;0;3;3;APLA216
40;VI;APLA308;TALLER DE LAS ARTES PLÁSTICAS INTERMEDIA III;4;5;4;9;7;APLA305
41;VI;APLA309;TALLER DE ARTE POPULAR I;4;3;2;5;4;NINGUNO
42;VI;APLA310;DISEÑO GRÁFICO II;4;2;2;4;3;APLA307
43;VI;APLA311;TALLER DIBUJO DE FIGURA HUMANA II;4;4;2;6;5;APLA304
44;VII;APLA220;GESTIÓN DE INDUSTRIAS CULTURALES;4;3;0;3;3;NINGUNO
45;VII;APLA221;HISTORIA DEL ARTE PERUANO I;4;2;2;4;3;APLA219
46;VII;APLA312;TALLER DE LAS ARTES PLÁSTICAS AVANZADA I;4;4;6;10;7;APLA308
47;VII;APLA313;CATALOGACIÓN Y CONSERVACIÓN;4;4;0;4;4;NINGUNO
48;VII;APLA314;TALLER DE ARTE POPULAR II;4;3;2;5;4;APLA309
49;VII;APLA315;ANIMACIÓN DIGITAL Y EFECTOS VISUALES I;4;2;2;4;3;APLA310
50;VIII;APLA222;HISTORIA DEL ARTE PERUANO II;4;3;0;3;3;APLA217
51;VIII;APLA316;TALLER DE LAS ARTES PLÁSTICAS AVANZADA II;4;5;4;9;7;APLA312
52;VIII;APLA317;PROYECTOS INNOVACIÓN DE ARTE ORIGINARIO;4;2;2;4;3;APLA220
53;VIII;APLA318;GESTIÓN DE TALLERES DE ARTES PLÁSTICAS;4;2;2;4;3;NINGUNO
54;VIII;APLA319;SEMIÓTICA DE LA IMAGEN;4;2;2;4;3;NINGUNO
55;VIII;APLA320;ANIMACIÓN DIGITAL Y EFECTOS VISUALES II;4;4;2;6;5;APLA315
