N;CICLO;CODIGO;CURSO;ESP;HT;HP;TH;CRD;REQUE
30;V;AMUS214;LENGUAJE MUSICAL APLICADO A LA TRANSCRIPCIÓN I;6;2;0;2;2;NINGUNO
31;V;AMUS215;HISTORIA DE LA MÚSICA PERUANA Y LATINOAMERICANA;6;4;0;4;4;AMUS211
32;V;AMUS304;ARMONÍA II;6;4;0;4;4;AMUS302
33;V;AMUS305;CONTRAPUNTO I;6;4;0;4;4;NINGUNO
34;V;AMUS306;INSTRUMENTO PRINCIPAL INTERMEDIO III;6;0;8;8;4;AMUS303
35;V;AMUS307;TALLER DE INTERPRETACIÓN MUSICAL I;6;2;2;4;3;NINGUNO
36;VI;AMUS216;FORMAS MUSICALES I;6;4;0;4;4;NINGUNO
37;VI;AMUS217;LENGUAJE MUSICAL APLICADO A LA TRANSCRIPCIÓN II;6;2;0;2;2;AMUS214
38;VI;AMUS218;CORO II;6;2;2;4;3;AMUS213
39;VI;AMUS308;CONTRAPUNTO II;6;4;0;4;4;AMUS305
40;VI;AMUS309;INSTRUMENTO PRINCIPAL INTERMEDIO IV;6;0;8;8;4;AMUS306
41;VI;AMUS310;TALLER DE INTERPRETACIÓN MUSICAL II;6;2;2;4;3;AMUS307
42;VI;AMUS311;SOFTWARE PARA EDICIÓN MUSICAL I;6;4;0;4;4;AMUS212
43;VII;AMUS219;FORMAS MUSICALES II;6;4;0;4;4;AMUS216
44;VII;AMUS220;INSTRUMENTACIÓN Y ORQUESTACIÓN;6;4;0;4;4;NINGUNO
45;VII;AMUS221;TALLER DE IMPROVISACIÓN ;6;2;0;2;2;NINGUNO
46;VII;AMUS222;LECTURA A PRIMERA VISTA ;6;2;0;2;2;NINGUNO
47;VII;AMUS223;EMPRESA Y MARKETING MUSICAL I;6;4;0;4;4;NINGUNO
48;VII;AMUS312;INSTRUMENTO PRINCIPAL AVANZADO I;6;0;8;8;4;AMUS309
49;VII;AMUS313;SOFTWARE PARA EDICIÓN MUSICAL II;6;2;2;4;3;AMUS311
50;VII;AMUS314;TALLER DE INTERPRETACIÓN MUSICAL III;6;2;2;4;3;AMUS310
51;VIII;AMUS224;EMPRESA Y MARKETING MUSICAL II;6;2;2;4;3;AMUS223
52;VIII;AMUS315;ARREGLOS MUSICALES;6;3;0;3;3;NINGUNO
53;VIII;AMUS316;INSTRUMENTO PRINCIPAL AVANZADO II;6;0;8;8;4;AMUS312
54;VIII;AMUS317;ANÁLISIS MUSICAL;6;3;0;3;3;AMUS219
55;VIII;AMUS318;COMPOSICIÓN MUSICAL I;6;4;0;4;4;NINGUNO
56;VIII;AMUS319;DIRECCIÓN MUSICAL I;6;4;0;4;4;NINGUNO
57;VIII;AMUS320;INVESTIGACIÓN MUSICAL I;6;2;2;4;3;NINGUNO
