N;CICLO;CODIGO;CURSO;ESP;HT;HP;TH;CRD;REQUE
33;V;EPR309;DIDÁCTICA DE LA GEOMETRÍA;00;2.0;2.0;4.0;3.0;NINGUNO
34;V;EPR310;DIDÁCTICA DE LA CIENCIA Y TECNOLOGÍA;00;2.0;2.0;4.0;3.0;NINGUNO
35;V;HUM213;PSICOLOGÍA DEL APRENDIZAJE;00;2.0;2.0;4.0;3.0;HUM211
36;VI;EPR215;FILOSOFÍA DE LA EDUCACIÓN;00;2.0;2.0;4.0;3.0;NINGUNO
37;VI;EPR216;EVALUACIÓN DEL APRENDIZAJE;00;3.0;2.0;5.0;4.0;EPR214
38;VI;EPR217;ENFOQUES Y MODELOS DE INVESTIGACIÓN EN EDUCACIÓN;00;3.0;2.0;5.0;4.0;NINGUNO
39;VI;EPR311;"DIDÁCTICA DE LA COMPRENSIÓN Y PRODUCCIÓN DE
TEXTOS";00;4.0;2.0;6.0;5.0;EPR307
40;VI;EPR312;PRÁCTICA DE PROYECTOS INTERDISCIPLINARIOS;00;2.0;4.0;6.0;4.0;EPR308
41;VI;EPR313;DIDÁCTICA DE LA ESTADÍSTICA Y PROBABILIDADES;00;2.0;2.0;4.0;3.0;NINGUNO
42;VII;EFI220;HABILIDADES DEPORTIVAS COLECTIVAS;00;2.0;2.0;4.0;3.0;NINGUNO
43;VII;EPR218;ADMINISTRACIÓN EDUCATIVA;00;3.0;2.0;5.0;4.0;NINGUNO
44;VII;EPR219;REALIDAD NACIONAL E INTERCULTURALIDAD;00;4.0;2.0;6.0;5.0;NINGUNO
45;VII;EPR221;"FORMULACIÓN DE PROYECTOS DE INVESTIGACIÓN
EDUCATIVA";00;3.0;2.0;5.0;4.0;EPR217
46;VII;EPR314;PRÁCTICA DE INNOVACIÓN PEDAGÓGICA Y AYUDANTÍA;00;1.0;4.0;5.0;3.0;EPR312
47;VII;EPR315;TALLER DE IDIOMA NATIVO QUECHUA ;00;3.0;2.0;5.0;4.0;NINGUNO
48;VII;EPR316;TALLER DE IDIOMA NATIVO AIMARA ;00;3.0;2.0;5.0;4.0;NINGUNO
49;VIII;EPR222;"EJECUCIÓN DE PROYECTOS DE INVESTIGACIÓN
EDUCATIVA";00;3.0;2.0;5.0;4.0;EPR221
50;VIII;EPR317;GESTIÓN ESCOLAR;00;3.0;2.0;5.0;4.0;EPR218
51;VIII;EPR318;LITERATURA INFANTIL QUECHUA ;00;3.0;2.0;5.0;4.0;NINGUNO
52;VIII;EPR319;LITERATURA INFANTIL AIMARA ;00;3.0;2.0;5.0;4.0;NINGUNO
53;VIII;EPR320;PRÁCTICA PEDAGÓGICA INICIAL;00;4.0;6.0;10.0;7.0;EPR314
54;VIII;EPR321;EDUCACIÓN EN HABILIDADES DIFERENCIADAS;00;3.0;2.0;5.0;4.0;NINGUNO
55;IX;AMUS322;DIDÁCTICAS DE LAS ARTES INTEGRADAS;00;2.0;4.0;6.0;4.0;NINGUNO
56;IX;EPR223;"CALIDAD Y ACREDITACIÓN DE INSTITUCIONES
EDUCATIVAS";00;2.0;2.0;4.0;3.0;EPR317
57;IX;EPR224;ESTADÍSTICA PARA EDUCADORES;00;3.0;2.0;5.0;4.0;NINGUNO
58;IX;EPR225;"SISTEMATIZACIÓN Y REDACCIÓN DEL INFORME DE
INVESTIGACIÓN EDUCATIVA";00;3.0;2.0;5.0;4.0;EPR222
59;IX;EPR323;PRÁCTICA PEDAGÓGICA INTERMEDIA;00;4.0;6.0;10.0;7.0;EPR320
60;X;EPR226;LEGISLACIÓN EDUCATIVA;00;2.0;2.0;4.0;3.0;NINGUNO
61;X;EPR228;PRODUCCIÓN INTELECTUAL;00;4.0;2.0;6.0;5.0;EPR225
62;X;EPR324;PRÁCTICA PEDAGÓGICA INTENSIVA;00;5.0;10.0;15.0;10.0;EPR323
63;X;HUM227;TALLER DE IDIOMA EXTRANJERO INGLÉS;00;3.0;2.0;5.0;4.0;NINGUNO
