N;CICLO;CODIGO;CURSO;ESP;HT;HP;TH;CRD;REQUE
46;VII;ADM327;COACHING Y MENTORING ;0;2;2;4;3;NINGUNO
47;VII;ADM328;SISTEMAS ADMINISTRATIVOS II;0;2;2;4;3;ADM321
48;VII;ADM329;METODOLOGÍAS ÁGILES;0;2;2;4;3;NINGUNO
49;VIII;ADM209;AGRONEGOCIOS;0;2;2;4;3;NINGUNO
50;VIII;ADM210;SISTEMA NACIONAL DE CONTROL;0;2;2;4;3;ADM328
51;VIII;ADM330;NEGOCIACIÓN EN LA GESTIÓN;0;2;2;4;3;NINGUNO
52;VIII;ADM331;GESTIÓN DE LA CALIDAD;0;2;2;4;3;NINGUNO
53;VIII;ADM332;FINANZAS CORPORATIVAS;0;3;2;5;4;ADM325
54;VIII;ADM333;MODELOS DE NEGOCIOS INNOVADORES;0;2;2;4;3;ADM329
55;VIII;ADM334;INTELIGENCIA DE NEGOCIOS Y BIG DATA;0;3;2;5;4;ADM322
56;IX;ADM211;METODOLOGÍA DE LA INVESTIGACIÓN;0;3;2;5;4;NINGUNO
57;IX;ADM212;GESTIÓN TURÍSTICA;0;2;2;4;3;NINGUNO
58;IX;ADM213;POLÍTICAS PÚBLICAS;0;2;2;4;3;NINGUNO
59;IX;ADM335;GESTIÓN COMERCIAL;0;2;2;4;3;NINGUNO
60;IX;ADM336;PRÁCTICAS PRE PROFESIONALES;0;1;4;5;3;NINGUNO
61;IX;ADM337;INGENIERÍA FINANCIERA;0;2;2;4;3;ADM332
62;IX;ADM338;GESTIÓN DE BUSINESS ANALYTICS;0;2;2;4;3;ADM334
63;X;ADM214;INFORME DE INVESTIGACIÓN;0;3;2;5;4;ADM211
64;X;ADM215;GESTIÓN MINERA;0;2;2;4;3;NINGUNO
65;X;ADM216;GERENCIA DE GOBIERNOS REGIONALES Y LOCALES;0;2;2;4;3;NINGUNO
66;X;ADM217;DERECHO ADMINISTRATIVO;0;2;2;4;3;NINGUNO
67;X;ADM339;GESTIÓN LOGÍSTICA;0;2;2;4;3;ADM335
68;X;ADM340;GESTIÓN DEL EMPRENDIMIENTO;0;2;2;4;3;ADM333
69;X;ADM341;JUEGOS SERIOS Y SIMULACIÓN DE NEGOCIOS;0;3;2;5;4;NINGUNO
