N;CODIGO;CICLO;CURSO;ESP;HT;x;HP;TH;CRD;REQUE;A
;7;VII;ICTIOPATOLOGÍA Y PARASITOLOGÍA;0;3;1;2;5;4;;
35;7;VII;TECNOLOGÍA PESQUERA DE CONSERVACIÓN;0;3;1;2;5;4;Null;
36;7;VII;ACUICULTURA CONTINENTAL;0;2;1;2;4;3;Null;
;;VII;PRODUCTIVIDAD ACUÁTICA;0;2;1;2;4;3;;
37;7;VII;MALACOLOGÍA;0;2;1;2;4;3;Null;
38;8;VIII;COMERCIALIZACIÓN DE RECURSOS HIDROBIOLÓGICOS;0;3;1;2;5;4;Null;
;8;VIII;DINÁMICA DE POBLACIONES DE PECES;0;3;1;2;5;4;;
39;8;VIII;TECNOLOGÍA PESQUERA DE TRANSFORMACIÓN;0;3;1;2;5;4;Null;
40;8;VIII;ORDENAMIENTO Y DESARROLLO PESQUERO;0;3;1;2;5;4;Null;
41;8;VIII;TRUCHICULTURA;0;3;1;2;5;4;Null;
;;VIII;EVALUACIÓN DE IMPACTO AMBIENTAL;0;4;0;0;4;4;;
42;8;VIII;ACUAPONÍA;0;4;0;0;4;4;Null;
;9;IX;SEMINARIO DE TESIS;0;3;1;2;5;4;Null;
43;9;IX;CONTAMINACIÓN DE ECOSISTEMAS ACUÁTICOS;0;3;1;2;5;4;Null;
44;9;IX;FORMULACIÓN Y EVALUACIÓN DE PROYECTOS PESQUEROS;0;3;1;2;5;4;Null;
;9;IX;UNIDAD DE PESCA Y NAVEGACIÓN;0;3;1;2;5;4;;
45;9;IX;DISEÑO DE INFRAESTRUCTURA Y OPERACIONES ACUÍCOLAS;0;3;1;2;5;4;Null;
;;IX;LEGISLACIÓN PESQUERA;0;4;0;0;4;4;;
46;9;IX;SISTEMA DE INFORMACIÓN GEOGRÁFICA;0;4;0;0;4;4;Null;
47;10;X;PRÁCTICAS PRE PROFESIONALES;0;0;24;48;48;24;Null;
48;10;X;TRABAJO DE INVESTIGACIÓN;0;1;1;2;3;3;Null;
