N;CODIGO;CICLO;CURSO;ESP;HT;x;HP;TH;CRD;REQUE;A
;;VIII;CIMENTACIONES SUPERFICIALES Y PROFUNDAS;0;2;1;2;4;3;;
;;VIII;MONITOREO, CONTROL Y SUPERVISIÓN AMBIENTAL;0;2;1;2;4;3;;
;8;VIII;MONITOREO Y CALIDAD DEL RECURSO HÍDRICO;0;2;1;2;4;3;;
;9;IX;INGENIERÍA DE DRENAJE;0;2;1;2;4;3;;
;9;IX;DISEÑO DE PRESAS;0;2;1;2;4;3;;
;9;IX;FORMULACIÓN Y EVALUACIÓN DE PROYECTOS;0;3;1;2;5;4;;
;9;IX;ABASTECIMIENTO DE AGUA POTABLE Y ALCANTARILLADO;0;3;1;2;5;4;;
;9;IX;EVALUACIÓN DEL IMPACTO AMBIENTAL;0;3;1;2;5;4;;
;9;IX;GESTIÓN DE RIESGO Y CAMBIO CLIMÁTICO;0;2;1;2;4;3;;
;;IX;DISEÑO DE ESTRUCTURAS II;0;2;1;2;4;3;;
;;IX;ADMINISTRACIÓN Y LEGISLACIÓN DE OBRAS;0;2;1;2;4;3;;
;;IX;RESOLUCIÓN DE CONFLICTOS EN RECURSOS HIDRICOS;0;2;1;2;4;3;;
;9;IX;GESTION DE PROYECTOS;0;2;1;2;4;3;;
;10;X;TRABAJO DE INVESTIGACIÓN;0;2;0;0;2;2;;
;10;X;MÓDULO: LEGISLACIÓN Y GESTIÓN HÍDRICA;;2;1;2;4;3;;
;10;X;MÓDULO: PROYECTOS DE IRRIGACIÓN;;2;1;2;4;3;;
;10;X;MÓDULO: RESIDENCIA Y SUPERVISIÓN DE OBRAS;;2;1;2;4;3;;
;10;X;MÓDULO: ORDENAMIENTO TERRITORIAL;;2;1;2;4;3;;
;10;X;PRACTICA PRE-PROFESIONAL;;5;5;10;15;10;;
