N;CODIGO;CICLO;CURSO;ESP;HT;a;HP;TH;CRD;REQUE
57;9;IX;CONTRATACIONES CON EL ESTADO;0;2;1;2;4;3;49
58;9;IX;TALLER DE INVESTIGACION Y REDACCION CIENTIFICA I;0;2;1;2;4;3;50
;9;IX;INFRAESTRUCTURA VIAL;0;2;1;2;4;3;51
59;9;IX;DEMARCACION TERRITORIAL;0;2;1;2;4;3;51
;9;IX;TELEDETECCION II;0;2;1;2;4;3;52
60;9;IX;PAVIMENTOS;0;2;1;2;4;3;52
;;IX;VALORACION ECONOMICA DE ACTIVOS AMBIENTALES;0;2;1;2;4;3;54
;;IX;SEGURIDAD Y SALUD EN OBRAS;0;2;1;2;4;3;54
;;IX;GESTION DE RIESGOS NATURALES;0;2;1;2;4;3;54
61;9;IX;MANEJO Y GESTION DE ESPACIOS GEOGRAFICOS;0;2;1;2;4;3;54
62;10;X;GERENCIA Y PLANIFICACION EN OBRAS;0;1;1;2;3;2;NINGUNO
63;10;X;BASES DE DATOS Y LENGUAJES DE PROGRAMACION;0;2;1;2;4;3;NINGUNO
64;10;X;PRÁCTICAS PRE PROFESIONALES;0;0;3;6;6;3;NINGUNO
65;10;X;INGENIERIA DE VALUACIONES;0;1;1;2;3;2;56
66;10;X;DESARROLLO DE CAPACIDADES DE EMPRENDIMIENTO;0;2;0;0;2;2;55
67;10;X;TRABAJO DE INVESTIGACIÓN;0;2;1;2;4;3;NINGUNO
;;X;FORMULACION DE PROYECTOS EN VIAS DE TRANSPORTE;0;2;1;2;4;3;NINGUNO
68;10;X;ZONIFICACION ECOLOGICA Y ECONOMICA;0;2;1;2;4;3;NINGUNO
;;X;MANTENIMIENTO Y CONSERVACION VIAL;0;2;1;2;4;3;7
69;10;X;FORMULACION DE PROYECTOS EN GEOMATICA;0;2;1;2;4;3;7
;;X;GESTION AMBIENTAL PARA PROYECTOS VIALES;0;2;1;2;4;3;62
;;X;SISTEMAS DE INFORMACION VIAL;0;2;1;2;4;3;62
;;X;SANEAMIENTO FISICO LEGAL DE PREDIOS;0;2;1;2;4;3;62
70;10;X;PROGRAMACION Y SUPERVISION EN OBRAS;0;2;1;2;4;3;62
