N;CODIGO;CICLO;CURSO;ESP;HT;x;HP;TH;CRD;REQUE;A
;9;IX;FORMULACIÓN DE PROYECTOS DE INVESTIGACIÓN EN EDUCACIÓN FÍSICA Y DEPORTES;0;3;1;2;5;4;;
;;IX;SISTEMAS Y TÁCTICAS DE JUEGO EN EL BÁSQUETBOL;0;3;1;2;5;4;;
;;IX;SISTEMAS Y TÁCTICAS DE JUEGO EN EL VOLEIBOL;0;3;1;2;5;4;;
;9;IX;ATLETISMO III PRUEBAS COMBINADAS;0;3;1;2;5;4;;
36;9;IX;PRÁCTICA EN EL NIVEL SECUNDARIO;0;3;1;2;5;4;Null;
;10;X;LEGISLACIÓN EDUCATIVA Y DEPORTIVA;0;3;1;2;5;4;;
;10;X;CINEANTROPOMETRÍA;0;3;1;2;5;4;;
;10;X;GESTIÓN DEPORTIVA;0;3;1;2;5;4;;
37;10;X;TRABAJO DE INVESTIGACIÓN;0;3;1;2;5;4;Null;
38;10;X;PRÁCTICA INTENSIVA EN EL NIVEL SECUNDARIO;0;3;1;2;5;4;Null;
;10;X;EDUCACIÓN FÍSICA ESPECIAL;0;3;1;2;5;4;;
