N;CODIGO;CICLO;CURSO;ESP;HT;x;HP;TH;CRD;REQUE;A
54;;VIII;METODOLOGÍA DE LA INVESTIGACIÓN;0;1;1;2;3;2;Null;
55;;VIII;AGROECOLOGÍA;0;3;1;2;5;4;Null;
56;;VIII;EXTENSIÓN Y PROMOCIÓN AGRARIA;0;2;1;2;4;3;Null;
57;;VIII;FORMULACION Y EVALUACION DE PROYECTOS;0;3;1;2;5;4;Null;
58;;VIII;CONSTRUCCIONES RURALES;0;3;1;2;5;4;Null;
59;;VIII;SISTEMAS DE GESTION EN CADENAS PRODUCTIVAS;0;2;1;2;4;3;Null;
60;;VIII;MANEJO DE PRADERAS Y PASTIZALES;0;3;1;2;5;4;Null;
61;;IX;TUBEROSAS Y RAÍCES;0;3;1;2;5;4;Null;
62;;IX;GRANOS ANDINOS Y CEREALES;0;2;1;2;4;3;Null;
63;;IX;CULTIVOS TROPICALES;0;3;1;2;5;4;Null;
64;;IX;FRUTICULTURA;0;3;1;2;5;4;Null;
65;;IX;LEGUMINOSAS DE GRANO;0;2;1;2;4;3;Null;
66;;IX;OLERICULTURA;0;3;1;2;5;4;Null;
67;;IX;PRACTICAS PRE-PROFESIONALES;0;0;2;4;4;2;Null;
68;;X;TRABAJO DE INVESTIGACIÓN;0;1;1;2;3;2;Null;
69;;X;MANEJO INTEGRADO DE PLAGAS Y ENFERMEDADES;0;3;1;2;5;4;Null;
70;;X;POST COSECHA Y TRANSFORMACIÓN;0;2;1;2;4;3;Null;
71;;X;"AREA EN AGRONOMIA Y GESTION AMBIENTAL: EVALUACION DE IMPACTO AMBIENTAL; AREA EN AGRONOMIA TROPICAL: VIVEROS TROPICALES; AREA EN AGRONOMIA Y ZOOTECNIA: MEJORAMIENTO GENETICO DEL GANADO";0;2;1;2;4;3;Null;
72;;X;"AREA EN AGRONOMIA Y GESTION AMBIENTAL: ORDENAMIENTO AGROECOLÓGICO; AREA EN AGRONOMIA TROPICAL: AGROFORESTERÍA TROPICAL; AREA EN AGRONOMIA Y ZOOTECNIA: REPRODUCCIÓN ANIMAL";0;2;1;2;4;3;Null;
73;;X;"ÁREA EN AGRONOMÍA Y GESTIÓN AMBIENTAL: RESTAURACIÓN AMBIENTAL, CALIDAD AMBIENTAL, SIMULACIÓN AMBIENTAL DE SISTEMAS AGRARIOS, DISEÑOS EXPERIMENTALES AVANZADOS, PROYECTOS AMBIENTALES, BIODIVERSIDAD AGRÍCOLA, SOCIOLOGÍA RURAL, PROYECTOS PRODUCTIVOS, AGROEXPORTACIÓN; ÁREA EN AGRONOMÍA TROPICAL: DISEÑOS EXPERIMENTALES AVANZADOS, MALEZAS, CULTIVOS ENERGÉTICOS E INDUSTRIALES, MANEJO DE PLAGAS Y ENFERMEDADES DE CULTIVOS DE EXPORTACIÓN,
CRIANZA DE INS. BENÉFICOS, PASTOS Y FORRAJES TROPICALES, PRODUCCIÓN DE ENTOMOPATÓGENOS, SOCIOLOGÍA RURAL, PROYECTOS PRODUCTIVOS, AGROEXPORTACIÓN, MANEJO DE SUELOS TROPICALES; ÁREA EN AGRONOMÍA Y ZOOTECNIA: PRODUCCIÓN DE VACUNOS,
PRODUCCIÓN DE OVINOS,
PRODUCCIÓN DE CAMÉLIDOS SUDAMERICANOS,
PRODUCCIÓN DE AVES,
PRODUCCIÓN DE CUYES,
PRODUCCIÓN DE PORCINOS,
DISEÑOS EXPERIMENTALES AVANZADOS,
NUTRICIÓN Y ALIMENTACIÓN DE MONOGÁSTRICOS,
NUTRICIÓN Y ALIMENTACIÓN DE RUMIANTES,
CULTIVOS HIDROPÓNICOS FORRAJEROS,
RECURSOS GENÉTICOS DE PASTURAS,
SOCIOLOGÍA RURAL,
PROYECTOS PRODUCTIVOS,
AGROEXPORTACIÓN.";0;2;1;2;4;3;Null;
74;;X;"ÁREA EN AGRONOMÍA Y GESTIÓN AMBIENTAL: RESTAURACIÓN AMBIENTAL, CALIDAD AMBIENTAL, SIMULACIÓN AMBIENTAL DE SISTEMAS AGRARIOS, DISEÑOS EXPERIMENTALES AVANZADOS, PROYECTOS AMBIENTALES, BIODIVERSIDAD AGRÍCOLA, SOCIOLOGÍA RURAL, PROYECTOS PRODUCTIVOS, AGROEXPORTACIÓN; ÁREA EN AGRONOMÍA TROPICAL: DISEÑOS EXPERIMENTALES AVANZADOS, MALEZAS, CULTIVOS ENERGÉTICOS E INDUSTRIALES, MANEJO DE PLAGAS Y ENFERMEDADES DE CULTIVOS DE EXPORTACIÓN,
CRIANZA DE INS. BENÉFICOS, PASTOS Y FORRAJES TROPICALES, PRODUCCIÓN DE ENTOMOPATÓGENOS, SOCIOLOGÍA RURAL, PROYECTOS PRODUCTIVOS, AGROEXPORTACIÓN, MANEJO DE SUELOS TROPICALES; ÁREA EN AGRONOMÍA Y ZOOTECNIA: PRODUCCIÓN DE VACUNOS,
PRODUCCIÓN DE OVINOS,
PRODUCCIÓN DE CAMÉLIDOS SUDAMERICANOS,
PRODUCCIÓN DE AVES,
PRODUCCIÓN DE CUYES,
PRODUCCIÓN DE PORCINOS,
DISEÑOS EXPERIMENTALES AVANZADOS,
NUTRICIÓN Y ALIMENTACIÓN DE MONOGÁSTRICOS,
NUTRICIÓN Y ALIMENTACIÓN DE RUMIANTES,
CULTIVOS HIDROPÓNICOS FORRAJEROS,
RECURSOS GENÉTICOS DE PASTURAS,
SOCIOLOGÍA RURAL,
PROYECTOS PRODUCTIVOS,
AGROEXPORTACIÓN.";0;2;1;2;4;3;Null;
75;;X;"ÁREA EN AGRONOMÍA Y GESTIÓN AMBIENTAL: RESTAURACIÓN AMBIENTAL, CALIDAD AMBIENTAL, SIMULACIÓN AMBIENTAL DE SISTEMAS AGRARIOS, DISEÑOS EXPERIMENTALES AVANZADOS, PROYECTOS AMBIENTALES, BIODIVERSIDAD AGRÍCOLA, SOCIOLOGÍA RURAL, PROYECTOS PRODUCTIVOS, AGROEXPORTACIÓN; ÁREA EN AGRONOMÍA TROPICAL: DISEÑOS EXPERIMENTALES AVANZADOS, MALEZAS, CULTIVOS ENERGÉTICOS E INDUSTRIALES, MANEJO DE PLAGAS Y ENFERMEDADES DE CULTIVOS DE EXPORTACIÓN,
CRIANZA DE INS. BENÉFICOS, PASTOS Y FORRAJES TROPICALES, PRODUCCIÓN DE ENTOMOPATÓGENOS, SOCIOLOGÍA RURAL, PROYECTOS PRODUCTIVOS, AGROEXPORTACIÓN, MANEJO DE SUELOS TROPICALES; ÁREA EN AGRONOMÍA Y ZOOTECNIA: PRODUCCIÓN DE VACUNOS,
PRODUCCIÓN DE OVINOS,
PRODUCCIÓN DE CAMÉLIDOS SUDAMERICANOS,
PRODUCCIÓN DE AVES,
PRODUCCIÓN DE CUYES,
PRODUCCIÓN DE PORCINOS,
DISEÑOS EXPERIMENTALES AVANZADOS,
NUTRICIÓN Y ALIMENTACIÓN DE MONOGÁSTRICOS,
NUTRICIÓN Y ALIMENTACIÓN DE RUMIANTES,
CULTIVOS HIDROPÓNICOS FORRAJEROS,
RECURSOS GENÉTICOS DE PASTURAS,
SOCIOLOGÍA RURAL,
PROYECTOS PRODUCTIVOS,
AGROEXPORTACIÓN.";0;2;1;2;4;3;Null;
