N;CODIGO;CICLO;CURSO;ESP;HT;HP;HP*2;TH;CRD;REQUE;;;
32;;VI;CIRCUITOS ELECTRÓNICOS II;0;3;1;2;5;4;Null;;;
33;;VI;TEORÍA DE CONTROL AUTOMÁTICO I;0;4;1;2;6;5;Null;;;
34;;VI;SISTEMAS DIGITALES II;0;3;1;2;5;4;Null;;;
35;;VI;TELECOMUNICACIONES II;0;4;1;2;6;5;Null;;;
36;;VI;INSTALACIÓN Y SUMINISTRO ELÉCTRICO;0;2;1;2;4;3;Null;;;
37;;VI;LABORATORIO DE TELECOMUNICACIONES;0;0;1;2;2;1;Null;;;
38;;VI;INGLÉS TÉCNICO;0;2;0;0;2;2;Null;;;
39;;VII;MEDIOS DE TRANSMISIÓN Y ANTENAS;0;2;1;2;4;3;Null;;;
40;;VII;ELECTRÓNICA DE POTENCIA;0;3;1;2;5;4;Null;;;
41;;VII;CIRCUITOS DE RADIOFRECUENCIA;0;3;1;2;5;4;Null;;;
42;;VII;DISPOSITIVOS IOT;0;3;1;2;5;4;Null;;;
43;;VII;REDES DE COMUNICACIONES;0;3;1;2;5;4;Null;;;
44;;VII;TEORÍA DE CONTROL AUTOMÁTICO II;0;4;1;2;6;5;Null;;;
45;;VIII;ARQUITECTURA DE REDES DE COMUNICACIONES;0;3;1;2;5;4;Null;;;
46;;VIII;AUTÓMATAS PROGRAMABLES;0;3;1;2;5;4;Null;;;
47;;VIII;PROYECTOS ELECTRÓNICOS;0;2;1;2;4;3;Null;;;
48;;VIII;COMUNICACIONES FIJAS;0;2;1;2;4;3;Null;;;
49;;VIII;TEORÍA DE CONTROL AUTOMÁTICO III;0;2;1;2;4;3;Null;;;
50;;VIII;SISTEMAS DE TELEVISIÓN DIGITAL Y RADIODIFUSIÓN (E), PROGRAMACIÓN EN DISPOSITIVOS MÓVILES (E) TEORÍA DE LA INFORMACIÓN (E);0;2;1;2;4;3;Null;;;
51;;VIII;INSTRUMENTACIÓN INDUSTRIAL (E), SEGURIDAD INDUSTRIAL Y CONFIABILIDAD (E), INSTALACIONES ELECTRÓNICAS INDUSTRIALES (E);0;2;1;2;4;3;Null;;;
52;;IX;COMUNICACIONES MÓVILES;0;3;1;2;5;4;Null;;;
53;;IX;INSTRUMENTACIÓN Y TECNOLOGÍA BIOMÉDICA;0;3;1;2;5;4;Null;;;
54;;IX;TALLER DE TESIS;0;2;1;2;4;3;Null;;;
55;;IX;SEGURIDAD EN REDES DE DATOS;0;2;1;2;4;3;Null;;;
56;;IX;TEORÍA DE CONTROL AUTOMÁTICO AVANZADO;0;2;1;2;4;3;Null;;;
57;;IX;MICROONDAS Y COMUNICACIONES SATELITALES (E), CIBER SEGURIDAD (E), INTELIGENCIA ARTIFICIAL (E);0;2;1;2;4;3;Null;;;
58;;IX;ACTUADORES Y ACCIONAMIENTOS (E), SISTEMAS DE CONTROL DISTRIBUIDO (E), LABORATORIO LÓGICO INDUSTRIAL (E);0;2;1;2;4;3;Null;;;
59;;X;PROCESAMIENTO DIGITAL DE SEÑALES E IMÁGENES;0;4;1;2;6;5;Null;;;
60;;X;PRÁCTICA PREPROFESIONAL;0;0;2;4;4;2;Null;;;
61;;X;GESTIÓN DE EMPRESAS ELECTRÓNICAS;0;2;1;2;4;3;Null;;;
62;;X;COMUNICACIONES ÓPTICAS;0;2;1;2;4;3;Null;;;
63;;X;AUTOMATIZACIÓN INDUSTRIAL;0;2;1;2;4;3;Null;;;
64;;X;REGULACIÓN Y LEGISLACIÓN DE TELECOMUNICACIONES (E), COMUNICACIONES INALÁMBRICAS (E), REDES DEFINIDAS €;0;2;1;2;4;3;Null;;;
65;;X;CONTROL INTELIGENTE (E), REDES INDUSTRIALES (E), ROBÓTICA INDUSTRIAL (E);0;2;1;2;4;3;Null;;;
