N;CODIGO;CICLO;CURSO;ESP;HT;HP;HP*2;TH;CRD;REQUE;;;
47;;VIII;VOLEIBOL PARA LA FORMACIÓN DEPORTIVA/BÁSQUETBOL PARA LA FORMACIÓN DEPORTIVA;0;3;1;2;5;4;Null;;;
48;;VIII;PRÁCTICA PREPROFESIONAL EN PROMOCIÓN DE LA SALUD;0;3;1;2;5;4;Null;;;
49;;VIII;FORMULACIÓN DE PROYECTOS DE INVESTIGACIÓN;0;3;1;2;5;4;Null;;;
50;;VIII;PEDAGOGÍA DEL TAE KWONDO;0;3;1;2;5;4;Null;;;
51;;IX;PEDAGOGÍA DEL HANDBALL;0;3;1;2;5;4;Null;;;
52;;IX;MEDICINA DEPORTIVA;0;3;1;2;5;4;Null;;;
53;;IX;GESTIÓN DEPORTIVA;0;3;1;2;5;4;Null;;;
54;;IX;RECREACIÓN Y DEPORTES DE SALÓN;0;3;1;2;5;4;Null;;;
55;;IX;PRÁCTICA EN EL NIVEL SECUNDARIO RURAL;0;3;1;2;5;4;Null;;;
56;;IX;ESTADÍSTICA APLICADA A LA INVESTIGACIÓN;0;3;1;2;5;4;Null;;;
57;;X;LEGISLACIÓN EDUCATIVA;0;3;1;2;5;4;Null;;;
58;;X;INGLÉS;0;2;1;2;4;3;Null;;;
59;;X;TALLER DE ENTRENAMIENTO DEPORTIVO;0;3;1;2;5;4;Null;;;
60;;X;PROYECTOS DE ORGANIZACIÓN DEPORTIVA;0;3;1;2;5;4;Null;;;
61;;X;PRÁCTICA PREPROFESIONAL EN EDUCACIÓN SECUNDARIA;0;2;2;4;6;4;Null;;;
62;;X;REDACCIÓN DEL INFORME DE INVESTIGACIÓN;0;3;1;2;5;4;Null;;;
