N;CODIGO;CICLO;CURSO;ESP;HT;HP;HP*2;TH;CRD;REQUE;;;;;
53;;IX;DISEÑO DE PRESAS;0;2;1;2;4;3;Null;;;;;
54;;IX;FORMULACIÓN Y EVALUACIÓN DE PROYECTOS;0;3;1;2;5;4;Null;;;;;
55;;IX;ORDENAMIENTO TERRITORIAL;0;2;1;2;4;3;Null;;;;;
56;;IX;EVALUACIÓN DEL IMPACTO AMBIENTAL;0;3;1;2;5;4;Null;;;;;
57;;IX;DISEÑO DE ESTRUCTURAS HIDRÁULICAS II;0;2;1;2;4;3;Null;;;;;
58;;IX;RESIDENCIA Y SUPERVISIÓN DE OBRAS;0;2;1;2;4;3;Null;;;;;
59;;IX;TALLER DE INVESTIGACIÓN II;0;2;1;2;4;3;Null;;;;;
60;;X;TALLER DE INVESTIGACIÓN III;0;2;1;2;4;3;Null;;;;;
61;;X;GESTIÓN DE RECURSOS HÍDRICOS;0;2;1;2;4;3;Null;;;;;
62;;X;PRACTICAS PRE-PROFESIONALES (*);0;0;2;4;4;2;Null;;;;;
63;;X;PROYECTOS DE IRRIGACIÓN (E) / ADMINISTRACIÓN Y LEGISLACIÓN DE OBRAS (E);0;2;1;2;4;3;Null;;;;;
64;;X;CAMINOS RURALES (E) / ADMINISTRACIÓN DE SISTEMAS HIDRÁULICOS (E);0;2;1;2;4;3;Null;;;;;
65;;X;APROVECHAMIENTO DE ENERGÍAS RENOVABLES (E) / GESTIÓN DE RIESGOS DE DESASTRES (E);0;2;1;2;4;3;Null;;;;;
